Title,Publisher,EU Release Date,AU Release Date,PEGI,ACB
Madagascar,Nintendo,08/12/2006,07/12/2006,7,G
F-Zero,Nintendo,08/12/2006,07/12/2006,3,G
SimCity,Nintendo,29/12/2006,29/12/2006,3,G
Super Castlevania IV,Konami,29/12/2006,29/12/2006,3,PG
Street Fighter II: The World Warrior,Capcom,19/01/2007,19/01/2007,12,PG
Super Probotector: Alien Rebels,Konami,19/01/2007,19/01/2007,12,PG
Super Mario World,Nintendo,09/02/2007,09/02/2007,3,G
R-Type III: The Third Lightning,Irem,16/02/2007,16/02/2007,7,G
Super Ghouls'n Ghosts,Capcom,09/03/2007,09/03/2007,7,PG
The Legend of Zelda: A Link to the Past,Nintendo,23/03/2007,23/03/2007,7,PG
The Legend of the Mystical Ninja,Konami,30/03/2007,30/03/2007,7,PG
ActRaiser,Square Enix,13/04/2007,13/04/2007,7,PG
Final Fight,Capcom,27/04/2007,27/04/2007,12,PG
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,16/05/2007,16/05/2007,3,G
Kirby's Dream Course,Nintendo,29/06/2007,29/06/2007,3,G
Street Fighter II' Turbo: Hyper Fighting,Capcom,20/07/2007,20/07/2007,12,PG
Kirby's Ghost Trap,Nintendo,27/07/2007,27/07/2007,3,G
Breath of Fire II,Capcom,10/08/2007,10/08/2007,7,G
Vegas Stakes,Nintendo,31/08/2007,31/08/2007,12,PG
Mario's Super Picross (900 Wii Points),Nintendo,14/09/2007,14/09/2007,3,G
Gradius III (900 Wii Points),Konami,28/09/2007,28/09/2007,7,G
Axelay,Konami,Unreleased,12/10/2007,7,G
Super Metroid,Nintendo,12/10/2007,12/10/2007,7,PG
Cybernator,Hudson Soft,07/12/2007,07/12/2007,7,PG
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Nintendo,25/12/2007,25/12/2007,3,G
Harvest Moon,Natsume,04/01/2008,04/01/2008,3,G
Super Street Fighter II: The New Challengers,Capcom,25/01/2008,25/01/2008,12,PG
Super Turrican,Factor 5,29/02/2008,29/02/2008,7,PG
Super R-Type,Irem,14/03/2008,14/03/2008,7,G
Pac-Attack,Namco Bandai Games,27/06/2008,27/06/2008,3,G
Super Mario RPG: Legend of the Seven Stars (900 Wii Points),Nintendo,22/08/2008,22/08/2008,3,G
DoReMi Fantasy: Milon's DokiDoki Adventure (900 Wii Points),Hudson Soft,05/09/2008,05/09/2008,3,G
Space Invaders: The Original Game,Taito,28/11/2008,28/11/2008,3,G
Secret of Mana,Square Enix,26/12/2008,26/12/2008,7,G
Super Punch-Out!!,Nintendo,20/03/2009,20/03/2009,12,G
Ogre Battle: The March of the Black Queen (900 Wii Points),Nintendo,03/07/2009,03/07/2009,7,PG
Kirby's Dream Land 3 (900 Wii Points),Nintendo,24/07/2009,24/07/2009,3,G
Pilotwings,Nintendo,21/08/2009,21/08/2009,7,G
Super Star Wars,LucasArts,18/09/2009,18/09/2009,7,PG
Super Star Wars: The Empire Strikes Back,LucasArts,02/10/2009,02/10/2009,7,PG
Final Fight 2,Capcom,09/10/2009,09/10/2009,12,PG
Super Star Wars: Return of the Jedi,LucasArts,16/10/2009,16/10/2009,7,PG
Zombies,LucasArts,30/10/2009,30/10/2009,12,PG
Street Fighter Alpha 2,Capcom,29/01/2010,29/01/2010,12,PG
Final Fight 3,Capcom,05/02/2010,05/02/2010,12,PG
Super Mario Kart,Nintendo,02/04/2010,02/04/2010,3,G
Indiana Jones' Greatest Adventures,LucasArts,23/04/2010,23/04/2010,12,PG
Ghoul Patrol,LucasArts,14/05/2010,14/05/2010,12,PG
Kirby's Fun Pak,Nintendo,28/05/2010,28/05/2010,3,G
Final Fantasy II (900 Wii Points),Square Enix,11/06/2010,11/06/2010,7,PG
Aero the Acro-Bat,Sunsoft,23/07/2010,23/07/2010,3,G
Aero the Acro-Bat 2,Sunsoft,06/08/2010,06/08/2010,3,G
Wild Guns,Natsume,13/08/2010,13/08/2010,12,PG
Mystic Quest Legend,Square Enix,24/09/2010,24/09/2010,7,G
Rival Turf!,Jaleco,08/10/2010,08/10/2010,12,PG
Super E.D.F.: Earth Defense Force,Jaleco,29/10/2010,29/10/2010,7,G
Super Bonk (900 Wii Points),Hudson Soft,10/12/2010,10/12/2010,3,G
Natsume Championship Wrestling (900 Wii Points),Natsume,18/02/2011,18/02/2011,12,PG
Final Fantasy III (900 Wii Points),Square Enix,18/03/2011,18/03/2011,7,PG
Brawl Brothers,Jaleco,01/04/2011,01/04/2011,12,PG
The Ignition Factor (900 Wii Points),Jaleco,29/04/2011,29/04/2011,7,PG
Super Adventure Island,Hudson Soft,13/05/2011,13/05/2011,3,G
Chrono Trigger (900 Wii Points),Square Enix,20/05/2011,20/05/2011,12,PG
Super Adventure Island II,Hudson Soft,10/06/2011,10/06/2011,3,G
Prince of Persia,Ubisoft,19/01/2012,19/01/2012,12,PG
